Título;Downloads;URL
"Moby Dick; Or, The Whale";111450 downloads;https://www.gutenberg.org/ebooks/2701
A Room with a View;97581 downloads;https://www.gutenberg.org/ebooks/2641
"Frankenstein; Or, The Modern Prometheus";84801 downloads;https://www.gutenberg.org/ebooks/84
The Complete Works of William Shakespeare;78070 downloads;https://www.gutenberg.org/ebooks/100
Romeo and Juliet;75998 downloads;https://www.gutenberg.org/ebooks/1513
A Modest Proposal;74248 downloads;https://www.gutenberg.org/ebooks/1080
Emma;72888 downloads;https://www.gutenberg.org/ebooks/158
Gulliver's Travels into Several Remote Regions of the World;70962 downloads;https://www.gutenberg.org/ebooks/17157
The Enchanted April;70927 downloads;https://www.gutenberg.org/ebooks/16389
Cranford;66871 downloads;https://www.gutenberg.org/ebooks/394
The Expedition of Humphry Clinker;65856 downloads;https://www.gutenberg.org/ebooks/2160
History of Tom Jones, a Foundling;65154 downloads;https://www.gutenberg.org/ebooks/6593
The Mysterious Stranger, and Other Stories;63045 downloads;https://www.gutenberg.org/ebooks/3186
Right Ho, Jeeves;62004 downloads;https://www.gutenberg.org/ebooks/10554
The Imaginary Invalid;60056 downloads;https://www.gutenberg.org/ebooks/9070
Pride and Prejudice;59335 downloads;https://www.gutenberg.org/ebooks/1342
Middlemarch;59066 downloads;https://www.gutenberg.org/ebooks/145
Alice's Adventures in Wonderland;57905 downloads;https://www.gutenberg.org/ebooks/11
The Pickwick Papers;57807 downloads;https://www.gutenberg.org/ebooks/580
"Little Women; Or, Meg, Jo, Beth, and Amy";56755 downloads;https://www.gutenberg.org/ebooks/37106
The Wind in the Willows;56750 downloads;https://www.gutenberg.org/ebooks/289
Write It Right: A Little Blacklist of Literary Faults;54861 downloads;https://www.gutenberg.org/ebooks/12474
Crime and Punishment;54498 downloads;https://www.gutenberg.org/ebooks/2554
The Blue Castle: a novel;52394 downloads;https://www.gutenberg.org/ebooks/67979
The History of the Peloponnesian War;52054 downloads;https://www.gutenberg.org/ebooks/7142
The Picture of Dorian Gray;51426 downloads;https://www.gutenberg.org/ebooks/174
A Journey to the Centre of the Earth;49079 downloads;https://www.gutenberg.org/ebooks/18857
The Reign of Greed;48954 downloads;https://www.gutenberg.org/ebooks/10676
The History of Herodotus — Volume 1;48856 downloads;https://www.gutenberg.org/ebooks/2707
The Satyricon — Complete;48368 downloads;https://www.gutenberg.org/ebooks/5225
The Adventures of Ferdinand Count Fathom — Complete;48150 downloads;https://www.gutenberg.org/ebooks/6761
The Lady with the Dog and Other Stories;47107 downloads;https://www.gutenberg.org/ebooks/13415
The Adventures of Roderick Random;47001 downloads;https://www.gutenberg.org/ebooks/4085
The Eyes Have It;46891 downloads;https://www.gutenberg.org/ebooks/31516
The Lady of the Lake;46799 downloads;https://www.gutenberg.org/ebooks/3011
The Project Gutenberg Encyclopedia, Volume 1 of 28;46574 downloads;https://www.gutenberg.org/ebooks/200
Twenty years after;46202 downloads;https://www.gutenberg.org/ebooks/1259
Laughter: An Essay on the Meaning of the Comic;45819 downloads;https://www.gutenberg.org/ebooks/4352
A Doll's House : a play;45104 downloads;https://www.gutenberg.org/ebooks/2542
Cambridge Sketches;44880 downloads;https://www.gutenberg.org/ebooks/7255
The Sceptical Chymist;44853 downloads;https://www.gutenberg.org/ebooks/22914
South Africa and the Transvaal War, Vol. 6 (of 8);44843 downloads;https://www.gutenberg.org/ebooks/46303
A history of the Peninsular War, Vol. 5, Oct. 1811-Aug. 31, 1812 :  Valencia, Ciudad Rodrigo, Badajoz, Salamanca, Madrid;44702 downloads;https://www.gutenberg.org/ebooks/62291
A history of the Peninsular War, Vol. 3, Sep. 1809-Dec. 1810 :  Ocaña, Cadiz, Bussaco, Torres Vedras;44684 downloads;https://www.gutenberg.org/ebooks/55231
South Africa and the Transvaal War, Vol. 2 (of 8);44657 downloads;https://www.gutenberg.org/ebooks/26198
A history of the Peninsular War, Vol. 2, Jan.-Sep. 1809 :  From the battle of Corunna to the end of the Talavera campaign;44568 downloads;https://www.gutenberg.org/ebooks/54279
Eve's Diary, Complete;44544 downloads;https://www.gutenberg.org/ebooks/8525
Matthew Calbraith Perry: A Typical American Naval Officer;44508 downloads;https://www.gutenberg.org/ebooks/52026
South Africa and the Transvaal War, Vol. 1 (of 8);44392 downloads;https://www.gutenberg.org/ebooks/23692
A history of the Peninsular War, Vol. 4, Dec. 1810-Dec. 1811 :  Massena's retreat, Fuentes de Oñoro, Albuera, Tarragona;44164 downloads;https://www.gutenberg.org/ebooks/56812
The Adventures of Tom Sawyer, Complete;44127 downloads;https://www.gutenberg.org/ebooks/74
The Sky Trap;43744 downloads;https://www.gutenberg.org/ebooks/24151
Twenty Thousand Leagues under the Sea;42323 downloads;https://www.gutenberg.org/ebooks/164
Dracula;42028 downloads;https://www.gutenberg.org/ebooks/345
Three men in a boat (to say nothing of the dog);41918 downloads;https://www.gutenberg.org/ebooks/308
Sketches New and Old;39823 downloads;https://www.gutenberg.org/ebooks/3189
The History of John Bull;39709 downloads;https://www.gutenberg.org/ebooks/2643
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy";39309 downloads;https://www.gutenberg.org/ebooks/383
Lady Chatterley's lover;39204 downloads;https://www.gutenberg.org/ebooks/73144
The call of the wild;38698 downloads;https://www.gutenberg.org/ebooks/215
Der Struwwelpeter (German);38302 downloads;https://www.gutenberg.org/ebooks/24571
2 B R 0 2 B;37532 downloads;https://www.gutenberg.org/ebooks/21279
Anthem;37342 downloads;https://www.gutenberg.org/ebooks/1250
Là-bas;37313 downloads;https://www.gutenberg.org/ebooks/14323
My Life — Volume 1;36965 downloads;https://www.gutenberg.org/ebooks/5197
"Frankenstein; Or, The Modern Prometheus";36058 downloads;https://www.gutenberg.org/ebooks/41445
The Man from Time;35409 downloads;https://www.gutenberg.org/ebooks/29418
The Vibration Wasps;34679 downloads;https://www.gutenberg.org/ebooks/64820
Second Variety;34575 downloads;https://www.gutenberg.org/ebooks/32032
Project Gutenberg Compilation of Short Stories by Chekhov;34411 downloads;https://www.gutenberg.org/ebooks/57333
The Time Machine;33592 downloads;https://www.gutenberg.org/ebooks/35
The murder of Roger Ackroyd;33587 downloads;https://www.gutenberg.org/ebooks/69087
Memoirs of Fanny Hill;33409 downloads;https://www.gutenberg.org/ebooks/25305
Les misérables Tome I: Fantine (French);33309 downloads;https://www.gutenberg.org/ebooks/17489
Justice;33236 downloads;https://www.gutenberg.org/ebooks/2911
The Life and Adventures of Robinson Crusoe;33208 downloads;https://www.gutenberg.org/ebooks/521
The Brothers Karamazov;33183 downloads;https://www.gutenberg.org/ebooks/28054
David Copperfield;32954 downloads;https://www.gutenberg.org/ebooks/766
Oedipus King of Thebes;32691 downloads;https://www.gutenberg.org/ebooks/27673
The Jungle Book;32574 downloads;https://www.gutenberg.org/ebooks/236
Noli Me Tangere (Tagalog);32332 downloads;https://www.gutenberg.org/ebooks/20228
The Idiot;32126 downloads;https://www.gutenberg.org/ebooks/2638
The Railway Children;31497 downloads;https://www.gutenberg.org/ebooks/1874
The Yellow Wallpaper;31460 downloads;https://www.gutenberg.org/ebooks/1952
Mansfield Park;31331 downloads;https://www.gutenberg.org/ebooks/141
The Sign of the Four;31275 downloads;https://www.gutenberg.org/ebooks/2097
The Works of Edgar Allan Poe — Volume 1;31245 downloads;https://www.gutenberg.org/ebooks/2147
Around the World in Eighty Days;31154 downloads;https://www.gutenberg.org/ebooks/103
A Connecticut Yankee in King Arthur's Court;31146 downloads;https://www.gutenberg.org/ebooks/86
Vanity Fair;31043 downloads;https://www.gutenberg.org/ebooks/599
Red Nails;31002 downloads;https://www.gutenberg.org/ebooks/32759
Rip Van Winkle;30952 downloads;https://www.gutenberg.org/ebooks/60976
The Awakening, and Selected Short Stories;30828 downloads;https://www.gutenberg.org/ebooks/160
The Beautiful and Damned;30805 downloads;https://www.gutenberg.org/ebooks/9830
The Prince and the Pauper;30718 downloads;https://www.gutenberg.org/ebooks/1837
Northanger Abbey;30644 downloads;https://www.gutenberg.org/ebooks/121
The Turn of the Screw;30585 downloads;https://www.gutenberg.org/ebooks/209
The Satyricon of Petronius Arbiter;30564 downloads;https://www.gutenberg.org/ebooks/5611
Plays;30397 downloads;https://www.gutenberg.org/ebooks/10623
Pygmalion;30235 downloads;https://www.gutenberg.org/ebooks/3825
The Return of Sherlock Holmes;30222 downloads;https://www.gutenberg.org/ebooks/108
The Happy Prince, and Other Tales;30212 downloads;https://www.gutenberg.org/ebooks/902
Lysistrata;30210 downloads;https://www.gutenberg.org/ebooks/7700
Hamlet, Prince of Denmark;30171 downloads;https://www.gutenberg.org/ebooks/27761
The Invisible Man: A Grotesque Romance;30164 downloads;https://www.gutenberg.org/ebooks/5230
The Best American Humorous Short Stories;30052 downloads;https://www.gutenberg.org/ebooks/10947
A Christmas Carol;30012 downloads;https://www.gutenberg.org/ebooks/24022
The Sorrows of Young Werther;30008 downloads;https://www.gutenberg.org/ebooks/2527
A Princess of Mars;29977 downloads;https://www.gutenberg.org/ebooks/62
We;29947 downloads;https://www.gutenberg.org/ebooks/61963
Swann's Way;29919 downloads;https://www.gutenberg.org/ebooks/7178
The Evolution of Love;29911 downloads;https://www.gutenberg.org/ebooks/17699
The Gay Cockade;29843 downloads;https://www.gutenberg.org/ebooks/16433
Anne of Avonlea;29786 downloads;https://www.gutenberg.org/ebooks/47
Ivanhoe: A Romance;29746 downloads;https://www.gutenberg.org/ebooks/82
"Frankenstein; Or, The Modern Prometheus";29457 downloads;https://www.gutenberg.org/ebooks/42324
Gargantua and Pantagruel;29363 downloads;https://www.gutenberg.org/ebooks/1200
The Alchemist;29360 downloads;https://www.gutenberg.org/ebooks/4081
